Centre d'archives;Scripteur;Scripteur - complet;Destinataire;Fonction du scripteur;Spécialité;Spécialité - généraliste;Nombre de lettres;Date A;Date B;Format;Sujet(s);Œuvres citées;Personnes citées;Contexte relationnel;Cote Archives;Identifiant personnel;Notes archiviste;Papier à en-tête;Revue;Lieu
IMEC;M. Morcrette;Michel Morcrette (1941-);;Ecrivain;Ecrivain(e);Littérature;1;1972;;;;;;;DVG2.C05;;;PUF;;
IMEC;M. Saint-Cricy;;;;Inconnu;Inconnu;1;19.;;;;;;;DVG2.C07;;;;;
IMEC;M. Taste (?);;;;Inconnu;Inconnu;2;1959;1964;;;;;;DVG2.C07;;;;;
IMEC;M. Vendoble (?);;;;Inconnu;Inconnu;1;19.;;;;;;;DVG2.C07;;;;;
IMEC;M. Zéraffa (?);Michel Zéraffa (1918-1983);;Michel Zéraffa, romancier, critique littéraire, chercheur au CNRS;Critique littéraire;Littérature;1;19.;;;;;;;DVG2.C07;;;;;
IMEC;Madeleine Gobeil-Noël;;;Enseignante canadienne puis journaliste et directrice de la Division des arts et de la vie culturelle de l'UNESCO;Personnel Unesco;Culture et diplomatie;6;1974;1995;;;;;;DVG2.C03;;;;;
Archives municipales de La Rochelle;Madeleine La(?);;;;Inconnu;Inconnu;1;;;;;;;;10Z 65 (4);;;;;
IMEC;Madeleine Léo Lagrange;;;Femme politique, ancienne députée;Politicien-ne;Politique;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Madeleine Rebérioux;;;Historienne spécialiste de la IIIe République;Historien;Histoire;1;1986;;;;;;;DVG2.C06;;;CNRS;;
IMEC;Mal… (?);;;;Inconnu;Inconnu;1;1983;;;;;;;DVG2.C05;;;;;
IMEC;Malanqu… (?);;;;Inconnu;Inconnu;2;1964;;;;;;;DVG2.C05;;;Université de Paris, Faculté des Lettres et Sciences Humaines;;
IMEC;"Malraux, André ; Martin du Gard, Roger ; Mauriac, François ; [Et Alli]
à M. le Président de la République";;;;;;1;1958;;;;;;;DVG2.C08;;Pétition à propos de ‘‘La Question’‘, signée par André Malraux, Roger Martin du Gard, François Mauriac et Jean-Paul Sartre;;;
IMEC;Manabu Yamamoto;;;;Inconnu;Inconnu;1;1983;;;;;;;DVG2.C07;;;;;
IMEC;Manateus;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;Dans le dossier Scarabée International;;;
IMEC;Manfred Kochen;;;Mathématicien autrichien, enseigne à l'Université de Columbia;Mathématicien;Physique-mathématiques;1;1980;;;;;;;DVG2.C04;;;;;
IMEC;Mano ?;;;;Inconnu;Inconnu;2;19…;;;;;;;DVG2.C05;;;;;
IMEC;Manuela Morera;;;;Inconnu;Inconnu;1;1985;;;;;;;DVG2.C05;;;Amministrazione Provinciale Viterbo;;
IMEC;Mar Eugeld (?);;;;Inconnu;Inconnu;1;1978;;;;;;;DVG2.C03;;;Université de Neuchatel;;
IMEC;Marc Beigbeder;;;Philosophe, essayiste, journaliste et polémiste;Philosophe;Philosophie;1;19…;;;;;;;DVG2.C01;;;;;
IMEC;Marc Bertrand;;;Professeur de stylistique;Professeur de littérature;Littérature;2;1979;;;;;;;DVG2.C01;;;;;
IMEC;Marc Blancpain;;;Ecrivain et journaliste;Journaliste-écrivain;Journalisme;1;1972;;;;;;;DVG2.C01;;en-tête : Alliance Française;;;
IMEC;Marc Eigeldinger;;;Poète;Poete;Philosophie;1;1973;;;;;;;DVG2.C03;;;Université de Neuchatel, Faculté de Lettres;;
IMEC;Marc Perelman;;;Architecte et essayiste spécialiste du sport;Théoricien de l'architecture;Théoricien de l'art/théâtre/littérature/architecture;1;1998;;;;;;;DVG2.C06;;‘‘Football = danger. Les stades de la honte’‘ (1 f. photoc. dactyl. trt. de txt.);;;
IMEC;Marcel Arland;Marcel Arland (1899-1986);;Ecrivain, journaliste, scénariste, critique littéraire;Femme/Homme de lettres;Littérature;70;1948;1984;;;;;Revue;DVG2.C01;;"En PJ : 6 lettres de Janine Arland dont 1 pour F. Duvignaud (1976-1980) ; faire part de décès de J. Arland (1986) ; 1 lettre de Dominique Arland (1974)
20 feuillets datés dans une enveloppe verte de la NRF notée ""Lettres Arland""";;NRF;
Archives municipales de La Rochelle;Marcel Arland;;;"Ecrivain ; co-directeur de la NRF";Femme/Homme de lettres;Littérature;1;1971;1982;;"L'Empire du milieu ; Le favori du désir ; article de Jean Duvignaud sur G. Gurvitch ""L'exclu de la horde"" ; publication d'Esquisse d'une sociologie du comédien ; Personnel ; Rédaction pour la NRF";;;;"10Z 1 (3) ; 10Z 65 (4)";;;;NRF;
IMEC;Marcel Bisiaux;;;Ecrivain;Ecrivain(e);Littérature;1;1985;;;;;;;DVG2.C01;;;;;
IMEC;Marcel Caprin (?);;;;Inconnu;Inconnu;1;1971;;;;;;;DVG2.C02;;;;;
IMEC;Marcel Thiébaut;;;Ecrivain, critique littéraire et dramaturge;Ecrivain-dramaturge;Théâtre;3;1943;1958;;;;;;DVG2.C07;;"""Les amis des mauvais jours""";La Revue de Paris;;
IMEC;Marco Consolini;;;Professeur à l'Institut d'Etudes Théâtrales de l'Université Sorbonne Nouvelle-Paris 3;Théoricien du théâtre;Théoricien de l'art/théâtre/littérature/architecture;1;1995;;;;;;;DVG2.C02;;;;;
IMEC;Mare (?);;;;Inconnu;Inconnu;1;1976;;;;;;;DVG2.C05;;;;;
IMEC;Marguerite H. Focillon;;;;Inconnu;Inconnu;1;1966;;;;;;;DVG2.C03;;;;;
IMEC;Maria Consuelo Ortiz;;;Chercheuse sur Georges Perec ?;Professeur de littérature;Littérature;1;1996;;;Probablement Georges Perec;;;;DVG2.C06;;;;;
IMEC;Maria G. Ocello von Prellwitz (prob. Pina Ocello…);;;Directrice d'Eulama, société d'agents littéraires;Editeur/Editrice;Edition;1;1983;;;;;;;DVG2.C06;;;Eulama;;
Archives municipales de La Rochelle;Maria Heloisa Fenelon Costa;;;;Inconnu;Inconnu;1;1988;;;Invitation école des beaux arts à Rio;;;;10Z 65 (4);;Télégramme;;;
IMEC;Marie Caravaggio;;;;Inconnu;Inconnu;1;1965;;;;;;;DVG2.C02;;;;;
IMEC;Marie L. Pellegrin (?);;;;Inconnu;Inconnu;1;1997;;;;;;;DVG2.C06;;;Séminaire de Psychologie Sociale 'Jean Stoetzel';;
IMEC;"Marie-Claude ; Amleto";;;;Inconnu;Inconnu;1;1990;;;;;;;DVG2.C05;;;;;
IMEC;Marie-Françoise Belon;;;;Inconnu;Inconnu;1;1981;;;;;;;DVG2.C01;;;;;
IMEC;Marie-Hélène;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Mariela Boggio;;;;Inconnu;Inconnu;2;1967;1972;;;;;;DVG2.C01;;;;;
Domicile;Marie-Paule Chevalier;;;Editions Ecriture;Editeur/Editrice;Edition;1;1996;;;Changement d'adresse de la maison d'édition;;;;;;;;;
IMEC;Mario Einaudi;;;Politologue;Politologue;Théoricien de l'art/théâtre/littérature/architecture;1;1975;;;;;;;DVG2.C03;;;Fondazione Luigi Einaudi;;
IMEC;Marion Denizot;;;Professeure des universités en études théâtrales;Théoricien du théâtre;Théoricien de l'art/théâtre/littérature/architecture;1;1999;;;;;;;DVG2.C02;;;;;
IMEC;Marius Francis Guy(?) (Probable Marius François Guyard;;;Ecrivain, professeur de littérature, spécialiste en littérature comparée;Professeur de littérature;Littérature;1;1951;;;;;;;DVG2.C03;;;;;
IMEC;Marlies Kronegger;;;;Inconnu;Inconnu;1;1996;;;;;;;DVG2.C04;;;Michigan State University;;
IMEC;Marquet;;;;Inconnu;Inconnu;1;1949;;;;;;;DVG2.C05;;;;;
IMEC;Marshall Mcluhan;;;Canadien. Père d'Eric Mcluhan, philosophe;;Sciences de l'Information et de la Communication;6;1972;1974;;;;;;DVG2.C05;;PJ : Carte de voeux signé Teri McLuhan;Centre for Culture and Technology;;
IMEC;Marta Pan;;;Sculptrice;Artiste plasticien;Arts;1;1971;;;;;;;DVG2.C06;;;;;
IMEC;Martin Peter;;;Physicien Suisse membre fondateur de l'institut de physique et théologie de l'université de Genève;Physicien;Philosophie;1;1972;;;;;;;DVG2.C06;;;Université de Genève;;
IMEC;Martine Chauney-Bouillot;;;Historienne et bibliothécaire;Historien;Histoire;1;1995;;;;;;;DVG2.C02;;en-tête :Académie des Sciences, Arts et Belles-lettres de Dijon;Académie des Sciences, Arts et Belles-lettres de Dijon;;
IMEC;Maurice Blanchot;;;Romancier et philosophe;Ecrivain-philosophe;Philosophie;2;19…;;;;;;;DVG2.C01;;"1 lettre dans une chemise ""Arguments""";;Arguments;
IMEC;Maurice Clavel;;;Ecrivain;Ecrivain(e);Littérature;1;1972;;;;;;;DVG2.C02;;;;;
IMEC;Maurice de Gandillac;;;Philosophe;Philosophe;Philosophie;1;1983;;;;;;;DVG2.C03;;;;;
IMEC;Maurice Huet;;;Probable escrimeur;Inconnu;Inconnu;1;1981;;;;;;;DVG2.C04;;PJ : 2 photos (vase décoré attribué à P. Klee);;;
IMEC;Maurice Nadeau;;;Ecrivain, journaliste, directeur de revues et notamment de la revue littéraire Les Lettres Nouvelles;Directeur de revue;Edition;1;19…;;;;;;;DVG2.C06;;;Les Lettres Nouvelles;Les Lettres Nouvelles;
IMEC;Maurois;André Maurois (1885-1967) ?;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Maxime Rodinson;;;Historien spécialiste du proche Orient et de l'Islam;Historien;Histoire;1;1963;;;;;;;DVG2.C06;;Voir fonds Maxime Rodinson;;;
Domicile;Maya Kandel;;;Journaliste;Journaliste;Journalisme;1;1999;;;"Participation au projet de Hors série de Libération ""A quoi pensez-vous ?""";;;;;;;;Libération;
Archives municipales de La Rochelle;MB (?);;;;Inconnu;Inconnu;1;1971;;;L'Empire du milieu;;;;10Z 1 (3);;;;;
IMEC;Mbuyamba Lupwishi;;;"Philologiste, formé en sciences humaines et arts, actuellement directeur exécutif de l'Observatoire des politiques culturelles en Afrique (OCPA) et président
du Conseil africain de la musique";Responsable culturel;Culture et diplomatie;1;1977;;;;;;;DVG2.C05;;;Université du Zaire, Institut National des Arts;;
Archives municipales de La Rochelle;Membres du Laboratoire de Sociologie, Sociologie de la connaissance et de l'Imaginaire (Dir : Jean Duvignaud) à …?;;;;Sociologue;Sociologie - anthropologie;1;1983;;;Candidature du laboratoire à une association au CNRS;;;;10Z 65 (4);;;;;
IMEC;Menha El Batraoui;;;Actrice;Actrice/acteur;Cinéma;1;1985;;;;;;;DVG2.C01;;;;;
IMEC;Méric;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
Archives municipales de La Rochelle;Mgr. Ed Massaux;;;Recteur de l'Université de Louvain;Administratif universitaire;Administration  - gestion;2;1984;1986;;Reconduction du mandat de chargé de cours à l'université catholique de Louvain;;;;10Z 65 (4);;;;;Place de l'Université 1, 1348 Ottignies-Louvain-la-Neuve, Belgique
IMEC;Michael Kustow;;;;Inconnu;Inconnu;1;1967;;;;;;;DVG2.C04;;;Royal Shakespeare Company;;
IMEC;Michel;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Michel Bernard;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C01;;;;;
IMEC;Michel Crepeau;;;Maire de La Rochelle;Politicien-ne;Politique;1;1981;;;;;;;DVG2.C02;;PJ : Lettre de Crepeau à Claude Simon;;;
Archives municipales de La Rochelle;Michel Crépeau;;;Maire de La Rochelle;Politicien-ne;Politique;2;1982;1991;;Le favori du désir, réédition de Chebika;;;;10Z 1 (3);;;;;3 Pl. de l'Hôtel de ville, 17000 La Rochelle
Domicile;Michel Crépeau;;;Maire de La Rochelle;Politicien-ne;Politique;1;1998;;;"Remerciement pour le ""Pandémonium""";J. Duvignaud, Le Pandémonium du présent, idées sages, idées folles. Terre Humaine, Plon, 1998;;;;;;;;
IMEC;Michel de Shewerode;;;;Inconnu;Inconnu;1;196.;;;;;;;DVG2.C07;;;;;
IMEC;Michel Deguy;;;Poète, traducteur et essayiste français, fondateur et rédacteur en chef de la revue Poésie;Poete;Philosophie;2;1968;1969;;;;;;DVG2.C02;;Voir Fonds Michel Deguy;;;
IMEC;Michel Dion;;;Probable philosophe / ethicien / avocat canadien;Philosophe;Philosophie;1;1974;;;;;;;DVG2.C02;;;;;
IMEC;Michel Foucault;;;Philosophe, écrivain, historien;Philosophe;Philosophie;2;19…;;;;;;;DVG2.C03;;;;;
IMEC;Michel Henry;;;Philosophe et romancier, courant de la phénoménologie;Ecrivain-philosophe;Philosophie;1;1980;;;;;;;DVG2.C04;;;;;
IMEC;Michel Kail (?);;;Professeur agrégé de philosophie, co-directeur de la revue L'Homme et la Société;Philosophe;Philosophie;2;1990;;;;;;;DVG2.C04;;;;;
Archives municipales de La Rochelle;Michel Lafon;;;Ecrivain, universitaire, hispaniste, homme de lettres;Professeur de littérature;Littérature;1;1991;;;Réédition de Chebika;;;;10Z 1 (3);;Carte postale;;;
IMEC;Michel Leiris;;;Ecrivain et ethnologue (autodidacte);Ethnologue;Sociologie - anthropologie;1;1973;;;;;;;DVG2.C05;;;;;
IMEC;Michel Ligner;;;;Inconnu;Inconnu;1;1982;;;;;;;DVG2.C05;;"PJ : Ligner à Jean Daniel : 1 lettre
Dans le dossier Scarabée International";;;
IMEC;Michel Maffesoli;;;Sociologue;Sociologue;Sociologie - anthropologie;5;1979;1992;;;;;;DVG2.C05;;;;;
Domicile;Michel Maffesoli;;;Sociologue;Sociologue;Sociologie - anthropologie;2;1998;;;"Contrats d'édition ; Ecriture de livres";"J. Duvignaud, Le rire, et après ? DDB, 1998
M. Maffesoli, L’Instant éternel. Le retour du tragique dans les sociétés postmodernes, La Table Ronde, 2003";;;;;;;;
Archives municipales de La Rochelle;Michel Maffesoli;;;Sociologue;Sociologue;Sociologie - anthropologie;1;1991;;;Réédition de Chebika;;;;10Z 1 (3);;;;;
Archives municipales de La Rochelle;Michel Monory;;;Directeur du Centre Culturel Franco-italien de Turin;Responsable culturel;Culture et diplomatie;2;1975;;;Conférences en Italie;;;;10Z 65 (4);;;;;Turin
IMEC;Michel Nemy (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C06;;;;;
IMEC;Michel Panoff;;;Anthropologue;Anthropologue;Sociologie - anthropologie;2;1973;;;;;;;DVG2.C06;;"PJ : iré à part dédicacée d'un article de Panoff pour Esprit, ‘‘La culture, mort d'une religion, naissance d'une foi’‘ (4 ff.brochés, 1972)
Dossier Cause Commune";;;
