Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Die Lehre von der Gesellschaft  ;Collectif ;"Die Lehre von der Gesellschaft [Texte imprimé] / bearbeitet und herausgegeben von Gottfried Eisermann ; In Verbindung mit Jean Duvignaud, Martinus Emge, Friedrich Fürstenberg, [et al.]...";Livre (Stuttgart : Enke, 1969);Sociologie -- Recherche   Sociologie -- Méthodologie ;;2., völlig veränderte Aufl.;Allemand;;;
"""Actuel 2""  ";Collectif ;"""Actuel 2"" [Texte imprimé] / [textes réunis et présentés par] Jean-Pierre Elkabbach";"Livre (Paris : A. Michel, 1973 ;  27-Mesnil-sur-l'Estrée :  impr. Firmin-Didot)";Télévision -- Émissions-débats ;;;Français;;;
Contre Althusser ;Collectif ;Contre Althusser / [préface de Jean-Marie Vincent];"Livre (Paris : Union Générale d'Editions, DL 1975 ; Loos : Imprimerie L. P.-F. L. Danel)";Althusser, Louis   Marxisme   Philosophie politique  et autres;Série Noire et Rouge;;Français;;;
Récits & contes populaires du Languedoc  . 1 ;Collectif ;Récits & contes populaires du Languedoc [Texte imprimé] . 1 / réunis par Jacques Lacroix dans les Pays de l'Hérault;Livre ([Paris] : Gallimard, 1978);Folklore   Contes   France  et autres;Récits & contes populaires;;Français;;;
Barcelona  ;Collectif ;"Barcelona [Texte imprimé] / fotografies Melba Levick ; text Joan Brossa";Livre (Barcelona : Edicions Polígrafa, DL 1988);Barcelone (Espagne)   Photographies ;;;"Catalan; Espagnol; Anglais; Allemand; Français";84-343-0517-8 ;9788434305175 ;
L'Europe en ruines  : témoignages oculaires, 1944-1948 ;Collectif ;"L'Europe en ruines [Texte imprimé] : témoignages oculaires, 1944-1948 / essais de Stig Dagerman, Alfred Döblin, Janet Flanner, ... [et al.] ; choix et présentation de Hans Magnus Enzensberger ; [éd. établie sous la dir. de Martina Wachendorff]";Livre (Arles : Actes Sud : Solin, 1995);"Reconstruction d&apos;après-guerre (2e guerre mondiale)   Année 1945   Guerre mondiale (1939-1945) -- Destruction et pillage  et autres";Librairie européenne des idées;;Français;2-7427-0311-X ;9782742703111 ;
Introduction aux littératures soviétiques : contes et nouvelles ;Collectif ;Introduction aux littératures soviétiques : contes et nouvelles / préf. d'Aragon;Livre (Paris : Gallimard, impr. 1956);Fiction -- Collections   Russian literature -- Translations into French   French literature -- Translations from Russian  et autres;"Littératures soviétiques ; 1";3e éd., 5e éd.;Français;;;
Saint Bernard, docteur de l'Eglise  : fêtes du 1er centenaire à Citeaux et dans l'ordre des cisterciens réformés, 9, 10 et 11 septembre 1930;Collectif ;Saint Bernard, docteur de l'Eglise [Texte imprimé] : fêtes du 1er centenaire à Citeaux et dans l'ordre des cisterciens réformés, 9, 10 et 11 septembre 1930;Livre ([S.l.] : Abbaye de Citeaux, 1932);Bernard de Clairvaux -- saint -- 1090?-1153 ;;;Français;;;
Le rire de Paul Claudel ;Collectif ;Le rire de Paul Claudel / [introduction de Pierre Moreau];Livre (Paris : Gallimard, impr. 1960);Claudel, Paul   Critique et interprétation -- 1868-1955 -- 1868-1955 ;"Cahiers Paul Claudel ; 2";;Français;;;
La ville et l'enfant  ;Collectif ;La ville et l'enfant [Texte imprimé] / Centre Georges Pompidou, CCI [Centre de création industrielle];"Livre (Paris : Centre national d'art et de culture Georges Pompidou, C.C.I, 1977 ;  Paris :  impr. Vanderperre)";Enfants en milieu urbain ;;;Français;2-85850-043-6 ;9782858500437 ;
