Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
The Arab world  : personal encounters ;Fernea , Elizabeth Warnock ;"The Arab world [Texte imprimé] : personal encounters / by Elizabeth Warnock Fernea and Robert A. Fernea ; photographs by Thomas Hartwell";Fernea , Elizabeth Warnock (Garden City, N.Y. : Anchor Press/Doubleday, 1985);;;1st ed.;Anglais;0-385-17123-4 ;9780385171236 ;
Pierrot et Aline  ;Ferniot , Jean ;Pierrot et Aline [Texte imprimé] / Jean Ferniot;Ferniot , Jean (Paris : B. Grasset, 1973);France -- Conditions sociales   1970-.... ;;;Français;;;
Alle radici della violenza  ;Ferrarotti , Franco ;Alle radici della violenza [Texte imprimé] / Franco Ferrarotti;Ferrarotti , Franco (Milano : Rizzoli, 1979);Terrorisme   1970-....   Aspect psychologique  et autres;Saggi Rizzoli;;Italien;;;
La società come problema e come progetto  ;Ferrarotti , Franco ;La società come problema e come progetto [Texte imprimé] / Franco Ferrarotti;Ferrarotti , Franco (Milano : A. Mondadori, impr. 1979);Sciences sociales   Philosophie sociale   Histoire  et autres;"Oscar studio ; 68";;Italien;;;
Nouvelle histoire romaine  ;Ferrero , Guglielmo ;Nouvelle histoire romaine [Texte imprimé] / Guglielmo Ferrero;Ferrero , Guglielmo ([Paris] : Hachette, 1936);Rome -- Histoire ;L'Histoire racontée à tous;;Français;;;
Trois mirifiques  : Jean-Pierre Raynaud, Christian Boltanski, Giovanni Anselmo : anti-éloges ;Ferrier , Jean-Louis ;Trois mirifiques [Texte imprimé] : Jean-Pierre Raynaud, Christian Boltanski, Giovanni Anselmo : anti-éloges / Jean-Louis Ferrier;"Ferrier , Jean-Louis ([Paris] : Lavignes-Bastille, 1995 ;  61-Lonrai :  Normandie roto impr.)";Raynaud, Jean-Pierre   Boltanski, Christian   Anselmo, Giovanni -- 1934-.... -- 1944-.... -- 1939-.... ;;;Français;2-908783-20-7 ;9782908783209 ;
Dali, Léda atomica  ;Ferrier , Jean-Louis ;Dali, Léda atomica [Texte imprimé] / Jean-Louis Ferrier;Ferrier , Jean-Louis (Paris : Denoël/Gonthier, cop.1980);Dalí, Salvador (1904-1989) -- Leda Atomica ;Bibliothèque médiations;;Français;;;
L'Occident devant la révolution soviétique  : l'histoire et ses mythes ;Ferro , Marc ;L'Occident devant la révolution soviétique [Texte imprimé] : l'histoire et ses mythes / Marc Ferro;"Ferro , Marc (Bruxelles : Éditions Complexe ; [Paris] : [diffusion Presses universitaires de France], 1980 ;  impr. en Belgique)";URSS -- 1917-1921 (Révolution)   URSS. Révolution et guerre civile/Occident ;"La Mémoire du siècle ; 3";;Français;2-87027-050-X ;9782870270509 ;
Les roses sauvages : petit roman suivi d'une tettre d'amour soigneusement présentée ;Ferron , Jacques ;Les roses sauvages : petit roman suivi d'une tettre d'amour soigneusement présentée / Jacques Ferron;Ferron , Jacques (Montréal : Editions Du Jour, DL 1971);;"Les Romanciers du Jour ; 75";;Français;0-7760-0634-7 ;9780776006345 ;
Théâtre public  : controverses : manifeste pour un temps présent : textes écrits et réunis à l'occasion des 1ères Controverses organisées à Avignon en Juillet 1998. ;Festival d'Avignon off ;Théâtre public [Texte imprimé] : controverses : manifeste pour un temps présent : textes écrits et réunis à l'occasion des 1ères Controverses organisées à Avignon en Juillet 1998. / Festival Off d'Avignon 1998;Festival d'Avignon off ([Avignon] : Avignon public off, [1998]);Théâtre -- Aspect social ;;;Français;;;
Premier festival de l'imaginaire, Paris  : du 21 février au 27 mars 1997 ;Festival de l'imaginaire ;Premier festival de l'imaginaire, Paris [Texte imprimé] : du 21 février au 27 mars 1997 / [réalisé par la] Maison des cultures du monde;"Festival de l'imaginaire (1 ; 1997 ; Paris) (Paris : Maison des cultures du monde, cop. 1997)";Art et anthropologie ;;;Français;;;
San Clemente ou l'asile  ;Fiammingo , Patricia ;San Clemente ou l'asile [Texte imprimé] / Patricia Fiammingo;Fiammingo , Patricia ([Paris] : Mots d'homme, 1987);;;;Français;;;
Puberté  ;Fichte , Hubert ;"Puberté [Texte imprimé] / Hubert Fichte ; trad. de l'allemand par Raymond Barthe";Fichte , Hubert ([Paris] : Gallimard, 1977);;Du monde entier;;Français;2-07-029524-9 ;9782070295241 ;
Mémoires d'une révolutionnaire ;Figner , Vera Nikolajevna ;"Mémoires d'une révolutionnaire / Véra Figner ; présentation de Fernand Rude ; [traduit par Victor Serge et Jeanne Rude]";"Figner , Vera Nikolajevna ([Paris] : Denoe??l-Gonthier ; C 1973)";Figner, Vera Nikolajevna   Femmes et socialisme   Femmes révolutionnaires  et autres;Collection Femme;;Français;;;
Le Bruit d'Iris  : essais ;Finas , Lucette ;"Le Bruit d'Iris [Texte imprimé] : essais / Lucette Finas ; [préface de Roland Barthes]";"Finas , Lucette (Paris : Flammarion, 1978 ;  42-Saint-Just-la-Pendue :  impr. Chirat)";Littérature française -- Histoire et critique   Critique ;Digraphe;;Français;2-08-062508-X ;9782080625083 ;
"La Crue : une lecture de Bataille, ""Madame Edwarda' ";Finas , Lucette ;"La Crue : une lecture de Bataille, ""Madame Edwarda' / Lucette Finas";Finas , Lucette ([Paris] : Gallimard, DL 1972);Bataille, Georges   Bataille, Georges (1897-1962) -- Madame Edwarda -- Critique et interprétation -- 1897-1962 ;Le Chemin;;Français;;;
La philosophie de Nietzsche  ;Fink , Eugen ;"La philosophie de Nietzsche [Texte imprimé] / Eugen Fink ; traduit de l'allemand par Hans Hildenbrand et Alex Lindenberg";Fink , Eugen ([Paris] : Ed. de Minuit, cop. 1965);Nietzsche, Friedrich   Critique et interprétation -- 1844-1900 ;"Arguments ; 25";;Français;2-7073-0261-9  et autres;9782707302618  et autres;
The Ancient Greeks  ;Finley , Moses I. ;The Ancient Greeks [Texte imprimé] / Moses I. Finley;Finley , Moses I. (Harmondsworth : Penguin in association with Chatto & Windus, 1966, cop. 1963);Grèce -- Civilisation ;"Pelican books ; 812";;Anglais;;;
Expérience esthétique et spirituelle chez Henri Michaux : la quête d'un savoir et d'une posture : essai  ;Fintz , Claude ;Expérience esthétique et spirituelle chez Henri Michaux : la quête d'un savoir et d'une posture : essai [Texte imprimé] / Claude Fintz;"Fintz , Claude (Paris ; Montréal : l'Harmattan, 1996 ;  14-Condé-sur-Noireau :  Impr. Corlet)";Michaux, Henri   Critique et interprétation -- 1899-1984 -- Esthétique -- 1899-1984 ;Espaces littéraires;;Français;2-7384-4411-3 ;9782738444110 ;
Art et communication marginale : tampons d'artistes = Art and marginal communication : rubber art, stamp activity = Kunst und Randkommunikation : Künstlers Stempelmarken ;Fischer , Hervé ;"Art et communication marginale : tampons d'artistes = Art and marginal communication : rubber art, stamp activity = Kunst und Randkommunikation : Künstlers Stempelmarken / Hervé Fischer ; [traduction anglaise par Ròselyne Fischer ; traduction allemande par Erna Ferran]";Fischer , Hervé ([Paris] : Balland, 1974);Fischer, Hervé   Art postal   1970-....  et autres;;;"Anglais; Français; Allemand";;;
Théorie de l'art sociologique ;Fischer , Hervé ;Théorie de l'art sociologique / par Hervé Fischer;Fischer , Hervé ([Paris] : Casterman, DL 1977);Art sociologique (mouvement artistique) ;"Collection ""Synthèses contemporaines""";;Français;2-203-23117-3 ;9782203231177 ;
L'interprétation des contes ;Flahault , François ;L'interprétation des contes / François Flahault;"Flahault , François (Paris : Denoël, DL 1988 ;  27-Mesnil-sur-l'Estrée :  Impr. Firmin-Didot)";Littérature populaire   Tradition orale   Histoire et critique  et autres;;;Français;2-207-23453-3 ;9782207234532 ;
La Renaissance  ;Flamand , Élie-Charles ;La Renaissance [Texte imprimé] / Elie-Charles Flamand;Flamand , Élie-Charles (Lausanne : Ed. Rencontre, Cop. 1965-1966);Peinture de la Renaissance ;"Histoire générale de la peinture ; 9 ; 10 ; 11";;Français;;;
L'église et le contrôle des naissances ;Flandrin , Jean-Louis ;L'église et le contrôle des naissances / Jean-Louis Flandrin;Flandrin , Jean-Louis ([Paris] : Flammarion, DL [1970], copyright 1970);Birth control -- Religious aspects -- History   Histoire   Régulation des naissances  et autres;"Questions d'histoire ; [23]";;Français;;;
Purgatoire à Ingolstadt : pièce en six tableaux :  ;Fleisser , Marieluise ;"Purgatoire à Ingolstadt : pièce en six tableaux : [Vitry-sur-Seine, Théâtre Jean Vilar, octobre 1981] / Marieluise Fleisser ; texte français, Sylvie Muller";"Fleisser , Marieluise (Paris : l'Arche, 1982 ;  61-Alençon :  impr. Corbière et Jugain)";;Scène ouverte;;Français;2-85181-004-9 ;9782851810045 ;
Le Cavalier d'or  ;Florenne , Yves ;Le Cavalier d'or [Texte imprimé] : pièce en sept journées : [créé le 9 juillet 1957 au festival de Nîmes...] / Yves Florenne;"Florenne , Yves (Paris : Gallimard, impr. 1958 ;  Montrouge :  Impr. Moderne)";;Le Manteau d'Arlequin;3e éd;Français;;;
Laurence Sterne : de l'homme à l'oeuvre : biographie critique et essai d'interprétation de Tristram Shandy ;Fluchère , Henri ;Laurence Sterne : de l'homme à l'oeuvre : biographie critique et essai d'interprétation de Tristram Shandy / par Henri Fluchère;Fluchère , Henri (Paris : Gallimard, cop. 1961);Sterne, Laurence   Sterne, Laurence (1713-1768) -- <<The >>life and opinions of Tristram Shandy   Sterne, Laurence, 1713-1768 -- Life and opinions of Tristram Shandy, gentleman -- Biographies -- 1713-1768 -- 1713-1768 ;Bibliothèque des idées;;Français;;;
La force du quotidien ;Flusser , Vilèm ;"La force du quotidien / Vilém Flusser ; traduit de l'anglais par Jean Mesrie et Barbara Niceall ; [préface de Abraham A. Moles] ; illustré par Gordon Swann";"Flusser , Vilèm (Tours : Mame, 1973 ;  37-Tours :  impr. Mame)";Objets usuels ;Collection Médium;;Français;2-250-00565-6 ;9782250005653 ;
Hantaï : , Fondation Maeght, 06 Saint-Paul, 21 décembre 1968-16 mars 1969 ;Fondation Marguerite et Aimé Maeght ;Hantaï : [exposition], Fondation Maeght, 06 Saint-Paul, 21 décembre 1968-16 mars 1969 / [Préface de François Mathey];Fondation Marguerite et Aimé Maeght (Saint-Paul, Alpes-Maritimes) (Saint-Paul-de-Vence : Fondation Maeght, 1968);"Hantaï, Simon   Catalogues d&apos;exposition -- 1922-2008 ";;;Français;;;
L'homme moderne et son image de la nature  : rencontre internationale ;Fondation pour une entraide intellectuelle européenne ;"L'homme moderne et son image de la nature [Texte imprimé] : rencontre internationale / organisée par la Fondation pour une entraide intellectuelle, Neuchâtel, 20-23 septembre 1973 ; actes mis en forme par Roselyne Chenu";"Fondation pour une entraide intellectuelle européenne (Neuchâtel : À la Baconnière ; [Paris] : [diffusion Payot], 1974)";;Langages;;Français;;;
Raver  ;Fontaine , Astrid ;"Raver [Texte imprimé] / Astrid Fontaine ; Caroline Fontana";"Fontaine , Astrid (Paris : Anthropos ; Paris : diff. Économica, 1996 ;  Paris :  Impr. Jouve)";Bals   Danse   Nuit  et autres;"Poche ethno-sociologie ; 7";;Français;2-7178-3164-9 ;9782717831641 ;
Art sociologique ;Forest , Fred ;Art sociologique / Fred Forest;"Forest , Fred (Paris : Union générale d'éditions, impr. 1977, cop. 1977 ;  18-Saint-Amand :  impr. Bussière)";"Forest, Fred   Art sociologique (mouvement artistique)   Collectif d&apos;art sociologique  et autres";"10-18 ; 1188";;Français;2-264-00811-3 ;9782264008114 ;
Ce que j'ai vu en Chine rouge  ;Forman , Harrison ;"Ce que j'ai vu en Chine rouge [Texte imprimé] / Harrison Forman ; traduit de l'américain par Sabine Bernard-Derosne";Forman , Harrison (Paris : P. Seghers, 1946);Chine -- 1912-1949 (République)   Récits personnels ;;;Français;;;
Van Gogh ou l'Enterrement dans les blés : biographie ;Forrester , Viviane ;Van Gogh ou l'Enterrement dans les blés : biographie / Viviane Forrester;"Forrester , Viviane (Paris : Seuil ; C 1983)";Van Gogh, Vincent   Peintres   Pays-Bas  et autres;"Fiction & Cie ; 55";;Français;2-02-006444-8 ;9782020064446 ;
La violence du calme : essai ;Forrester , Viviane ;La violence du calme : essai / Viviane Forrester;"Forrester , Viviane (Paris : Seuil, DL 1980 ; 86-Ligugé : Imprimerie Aubin)";Literature, Modern -- History and criticism   Violence ;"Fiction et Cie ; [37]";;Français;2-02-005461-2 ;9782020054614 ;
Naissance de la clinique  : une archéologie du regard médical ;Foucault , Michel ;Naissance de la clinique [Texte imprimé] : une archéologie du regard médical / par Michel Foucault;Foucault , Michel (Paris : Presses universitaires de France, 1972);Sociologie historique   Médecine -- Histoire   Médecine -- Philosophie ;Galien;2e édition revue;Français;;;
Les Processus sociaux contemporains  ;Fougeyrollas , Pierre ;Les Processus sociaux contemporains [Texte imprimé] / Pierre Fougeyrollas,...;"Fougeyrollas , Pierre (Paris : Payot, 1980, copyright 1980 ;  18-Saint-Amand-Montrond :  Impr. S.E.P.C.)";Communism   Capitalism   Communism and society  et autres;"Savoirs et idéologie dans les sciences sociales ; 2 .- Bibliothèque scientifique ; 59";;Français;2-228-12640-3 ;9782228126403 ;
La révolution freudienne  ;Fougeyrollas , Pierre ;La révolution freudienne [Texte imprimé] / Pierre Fougeyrollas;Fougeyrollas , Pierre (Paris : Denoël : Gonthier, impr. 1970);Freud, Sigmund   Psychanalyse et philosophie   Autoanalyse  et autres;"Grand format. Médiations ; 13";;Français;;;
La révolution prolétarienne et les impasses petites-bourgeoises  ;Fougeyrollas , Pierre ;La révolution prolétarienne et les impasses petites-bourgeoises [Texte imprimé] / Pierre Fougeyrollas;"Fougeyrollas , Pierre (Paris : Éditions Anthropos, 1976 ;  93-Bagnolet :  Impr. moderne)";Société communiste   Classes moyennes   Classe ouvrière ;;;Français;;;
L'attraction du futur  : essai sur la signification du présent ;Fougeyrollas , Pierre ;L'attraction du futur [Texte imprimé] : essai sur la signification du présent / Pierre Fougeyrollas;"Fougeyrollas , Pierre (Paris : Méridiens Klincksieck, 1991 ;  58-Clamecy :  Impr. Laballery)";Démocratie   Mouvement ouvrier   Sociologie historique  et autres;Sociétés;;Français;2-86563-299-7 ;9782865632992 ;
Marx, Freud et la révolution totale  ;Fougeyrollas , Pierre ;Marx, Freud et la révolution totale [Texte imprimé] / Pierre Fougeyrollas;"Fougeyrollas , Pierre (Paris : Éditions Anthropos, 1972 ;  78-Chatou :  impr. Besson)";Marx, Karl   Freud, Sigmund   Révolutions -- Philosophie  et autres;;;Français;;;
Marx ;Fougeyrollas , Pierre ;Marx / Pierre Fougeyrollas;Fougeyrollas , Pierre (Paris : Presses Universitaire de France, DL 1985);Marx, Karl   Marxisme   Social history  et autres;"Que sais-je ? ; 2265";;Français;2-13-039325-X ;9782130393252 ;
Contre Lévi-Strauss, Lacan et Althusser : trois essais sur l'obscurantisme contemporain ;Fougeyrollas , Pierre ;Contre Lévi-Strauss, Lacan et Althusser : trois essais sur l'obscurantisme contemporain / Pierre Fougeyrollas;"Fougeyrollas , Pierre (Rome : Savelli ; [Paris] : Éditions de la Jonquière, 1976)";Lévi-Strauss, Claude   Althusser, Louis   Lacan, Jacques  et autres;"Document critique ; 1";;Français;2-85930-008-2 ;9782859300081 ;
Faillite de l'université ?  ;Fourastié , Jean ;Faillite de l'université ? [Texte imprimé] / Jean Fourastié;Fourastié , Jean ([Paris] : Gallimard, 1972);Universités -- France   Histoire   Éducation et emploi  et autres;"Collection idées ; 257";;Français;2-07-035257-9 ;9782070352579 ;
Vers la liberté en amour  ;Fourier , Charles ;"Vers la liberté en amour [Texte imprimé] / Charles Fourier ; textes choisis et présentés par Daniel Guérin";Fourier , Charles ([Paris] : Gallimard, impr. 1975);Amour libre   Vie sexuelle   Morale sexuelle ;"Collection Idées ; 331";;Français;2-07-035331-1 ;9782070353316 ;
Œuvres complètes de Charles Fourier ...  ;Fourier , Charles ;Œuvres complètes de Charles Fourier ... [Texte imprimé] / [Introduction par Simone Debout Oleszkiewicz.];Fourier , Charles (Paris : Éditions Anthropos, 1971-1972);Socialisme   Socialisme utopique   Socialisme associationniste  et autres;;;Français;;;
L'ordre subversif : trois textes sur la civilisation ;Fourier , Charles ;"L'ordre subversif : trois textes sur la civilisation / Charles Fourier ; préface de René Schérer ; postface de Jean Goret";Fourier , Charles (Paris : Aubier-Montaigne, 1972);Socialisme   Civilisation   Socialism  et autres;"Bibliothèque sociale ; 1";;Français;;;
L'histoire véritable de Guignol  ;Fournel , Paul ;L'histoire véritable de Guignol [Texte imprimé] / de Paul Fournel;Fournel , Paul (Lyon : Fédérop, 1975);Guignol   Théâtre de marionnettes   Histoire ;;;Français;2-85792-008-3 ;9782857920083 ;
La Pêche côtière le long du littoral sud-ouest  : situation présente et perspectives d'avenir ;Fournet , Ph. ;La Pêche côtière le long du littoral sud-ouest [Texte imprimé] : situation présente et perspectives d'avenir / P Fournet;Fournet , Ph. (Bordeaux : Direction des Affaires Maritimes, 1980);Pêches   France   Aquitaine (France) ;;;Français;;;
A Maggot  ;Fowles , John ;A Maggot [Texte imprimé] / by John Fowles;Fowles , John (London : Pan books : in association with Jonathan Cape, 1991);Roman anglais -- 20e siècle ;Picador;;Anglais;0-330-29566-7  et autres;9780330295666  et autres;
Orient et Occident : peuvent-ils se comprendre ? ;Fradier , Georges ;Orient et Occident : peuvent-ils se comprendre ? / Georges Fradier;Fradier , Georges (Paris : UNESCO, 1958);Orient et Occident ;;;Français;;;
"Charles Chaplin  : le ""Self-made-myth"" ";França , José Augusto ;"Charles Chaplin [Texte imprimé] : le ""Self-made-myth"" / José-Augusto França ; [trad. par V. de Villeneuve de Mons]";França , José Augusto (Lisbonne : Inquerito, 1954);;;;Français;;;
Le portrait  : 50 siècles d'humanisme en peinture ;Francastel , Galienne ;Le portrait [Texte imprimé] : 50 siècles d'humanisme en peinture / Galienne et Pierre Francastel;Francastel , Galienne ([Paris] : Hachette, 1969);Peinture de portraits   Peinture   Histoire ;Art et pensée;;Français;;;
Enseignement supérieur, loi d'orientation et textes d'application ;France ;Enseignement supérieur, loi d'orientation et textes d'application [Texte imprimé] : [Loi n° 68-978 du 12 novembre 1968.];France (Paris : Journaux officiels, 1977);;"Journal officiel de la République Française ; 1369, 1977";Édition mise à jour au 1er octobre 1977;Français;2-11-070567-1 ;9782110705679 ;
Histoire contemporaine . 3 . l'anneau d'Améthyste  ;France , Anatole ;Histoire contemporaine . 3 . l'anneau d'Améthyste [Texte imprimé] / Anatole France;France , Anatole (Paris : Calmann-Lévy, 1928);;"Le Livre de poche ; 1485";;Français;;;
La perception de la musique  ;Francès , Robert ;La perception de la musique [Texte imprimé] / par R. Frances;Francès , Robert (Paris : J. Vrin, 1958);Musique -- Aspect psychologique   Philosophie et musique ;"Etudes de psychologie et de philosophie ; 14";;Français;;;
Les Graines de l'orage  : roman ;Francillon , Clarisse ;Les Graines de l'orage [Texte imprimé] : roman / Clarisse Francillon;Francillon , Clarisse (Paris : P. Horay, impr.1966);;;;Français;;;
Geographie universelle . 2 . Israe??l ;Frank , Bernard ;Geographie universelle . 2 . Israe??l [Texte imprimé];Frank , Bernard (Paris : La Table Ronde, 1955);;;;Français;;;
À gauche à la place du coeur ;Frank , Leonhard ;"À gauche à la place du coeur / Leonhard Frank ; trad. de l'allemand par Gérard Brousseau ; [préf.]... par Jean-Michel Palmier";"Frank , Leonhard (Grenoble : Presses universitaires de Grenoble, 1992 ;  14-Condé-sur-Noireau :  Impr. Corlet)";Frank, Leonhard   Vie intellectuelle -- Allemagne -- 1918-1945 -- 1882-1961 ;Débuts d'un siècle;;Français;2-7061-0459-7 ;9782706104596 ;
Le principe de causalité et ses limites ;Frank , Philipp ;"Le principe de causalité et ses limites / Philipp Frank,... ; traduit de l'allemand par J. du Plessis de Grenédan";Frank , Philipp ([Paris] : E. Flammarion, impr. 1937);Causalité   Causation ;Bibliothèque de philosophie scientifique;;Français;;;
La planque  : vie et réclusion de Manuel Cortes ;Fraser , Ronald ;"La planque [Texte imprimé] : vie et réclusion de Manuel Cortes / Ronald Fraser ; traduit de l'anglais par James Du Mourier";"Fraser , Ronald (Paris : Éd. du Seuil, 1972 ;  86-Ligugé :  impr. Aubin)";;;;Français;;;
Fréchette ;Fréchette , Louis ;Fréchette / textes choisis et présentés par Michel Dassonville,...;"Fréchette , Louis (Montréal ; Paris : Fides, copyright 1959)";Fréchette, Louis   Littérature canadienne de langue française -- 1839-1908 ;"Classiques canadiens ; 18";;Français;;;
Dictionnaire de la civilisation indienne  ;Frédéric , Louis ;Dictionnaire de la civilisation indienne [Texte imprimé] / Louis Frédéric;"Frédéric , Louis (Paris : R. Laffont, 1987, cop. 1987 ;  Impr. en Grande-Bretagne)";Civilisation hindoue   Inde -- Civilisation   Dictionnaires  et autres;Bouquins;;Français;2-221-01258-5 ;9782221012581 ;
Architecture et société ;Freitag , Michel ;Architecture et société / Michel Freitag;"Freitag , Michel (Montréal : Éd. Saint-Martin ; [Bruxelles] : la Lettre volée, 1992)";Architecture -- Aspect social ;"Essais ; 6 .- Connaissance de la société";;Français;2-87317-010-7  et autres;9782873170103  et autres;
L'Origine des légendes : roman ;Frémon , Jean ;L'Origine des légendes : roman / Jean Frémon;"Frémon , Jean (Paris : Éditions du Seuil, 1972 ;  27-Le Mesnil-sur-l'Estrée :  impr. Firmin-Didot)";;;;Français;;;
Le normal et le pathologique chez l'enfant  : estimations du développement ;Freud , Anna ;"Le normal et le pathologique chez l'enfant [Texte imprimé] : estimations du développement / Anna Freud ; traduit de l'anglais par le Dr Daniel Widlöcher";Freud , Anna (Paris : Gallimard, impr. 1968);Enfants -- Psychanalyse   Enfants -- Psychologie   Enfants -- Psychopathologie ;Connaissance de l'inconscient;;Français;2-07-027002-5 ;9782070270026 ;
Le Moi et les mécanismes de défense  ;Freud , Anna ;"Le Moi et les mécanismes de défense [Texte imprimé] / Anna Freud ; traduit de l'allemand par Anne Berman";"Freud , Anna (Paris : Presses universitaires de France, impr.1975 ;  41-Vendôme :  impr. des P.U.F.)";Mécanismes de défense   Moi ;Bibliothèque de psychanalyse;8e édition;Français;2-13-043524-6 ;9782130435242 ;
Cinq psychanalyses  ;Freud , Sigmund ;"Cinq psychanalyses [Texte imprimé] / par Sigmund Freud ; traduction de Marie Bonaparte et R. Loewenstein";Freud , Sigmund (Paris : Presses universitaires de France, 1954);Recherche   Psychanalyse ;Bibliothèque de psychanalyse et de psychologie clinique;Nouvelle édition;Français;2-13-036002-5 ;9782130360025 ;
Introduction à la psychanalyse ;Freud , Sigmund ;"Introduction à la psychanalyse / Sigmund Freud ; [traduit de l'allemand par S. Jankelevitch]";Freud , Sigmund (Paris : Payot, DL 1962);Psychanalyse   Esprit et corps ;"Petite bibliothèque Payot ; 6";;Français;;;
La technique psychanalytique  ;Freud , Sigmund ;"La technique psychanalytique [Texte imprimé] / Sigmund Freud ; trad. de l'allemand par Anne Berman";Freud , Sigmund (Paris : Presses universitaires de France, impr. 1972);Psychanalyse -- Pratique   Rêves -- Interprétation   Transfert (psychologie) ;Bibliothèque de psychanalyse;[4e éd.];Français;;;
Nouvelles conférences sur la psychanalyse  ;Freud , Sigmund ;"Nouvelles conférences sur la psychanalyse [Texte imprimé] / Sigmund Freud ; traduit de l'allemand par Anne Berman";Freud , Sigmund ([Paris] : Gallimard, impr. 1971);Freud, Sigmund   Psychanalyse -- Psychanalyse -- 1856-1939 ;"Idées ; 247";;Français;;;
Cinq leçons sur la psychanalyse  : suivi de Contribution à l'histoire du mouvement psychanalytique ;Freud , Sigmund ;"Cinq leçons sur la psychanalyse [Texte imprimé] : suivi de Contribution à l'histoire du mouvement psychanalytique / Sigmund Freud ; [trad. par Yves Le Lay et S. Jankélévitch]";Freud , Sigmund (Paris : Payot, DL 1971);Psychanalyse   Histoire ;"Petite bibliothèque Payot ; 84";;Français;;;
Totem et tabou  : interprétation par la psychanalyse de la vie sociale des peuples primitifs ;Freud , Sigmund ;"Totem et tabou [Texte imprimé] : interprétation par la psychanalyse de la vie sociale des peuples primitifs / Sigmund Freud ; [traduit de l'allemand par S. Jankélévitch]";Freud , Sigmund (Paris : Payot, 1965);Totémisme   Tabou   Société primitive  et autres;"Petite bibliothèque Payot ; 77";;Français;2-228-30774-2  et autres;9782228307741  et autres;
L'Homme aux rats : journal d'une analyse ;Freud , Sigmund ;"L'Homme aux rats : journal d'une analyse / Sigmund Freud ; texte allemand reproduit et établi, introduction, traduction, notes et commentaire par Elza Ribeiro Hawelka, avec la collaboration de Pierre Hawelka";Freud , Sigmund ([Paris] : Presses universitaires de France, DL 1974);Psychoanalysis -- Case studies   Obsessive-Compulsive Disorder   Psychanalyse  et autres;Bibliothèque de psychanalyse;;Français;;;
Métapsychologie  ;Freud , Sigmund ;"Métapsychologie [Texte imprimé] / Sigmund Freud ; traduit de l'allemand par Jean Laplanche et J.B. Pontalis";Freud , Sigmund ([Paris] : Gallimard, impr. 1972);Métapsychologie ;"Idées ; 154";;Français;;;
Essais de psychanalyse  ;Freud , Sigmund ;"Essais de psychanalyse [Texte imprimé] / Sigmund Freud ; [traduit par le Dr. S. Jankélévitch]";Freud , Sigmund (Paris : Payot, impr. 1971);Psychanalyse ;"Petite bibliothèque Payot ; 44";Nouv. éd. présentée par A. Hesnard;Français;;;
Psychopathologie de la vie quotidienne  ;Freud , Sigmund ;"Psychopathologie de la vie quotidienne [Texte imprimé] / Sigmund Freud ; [traduit de l'allemand par Samuel Jankélévitch]";Freud , Sigmund (Paris : Payot, 1968);Psychanalyse   Troubles de la mémoire   Psychopathologie  et autres;"Petite bibliothèque Payot ; 97";;Français;2-228-30971-0 ;9782228309714 ;
Le Mot d'esprit et ses rapports avec l'inconscient  ;Freud , Sigmund ;"Le Mot d'esprit et ses rapports avec l'inconscient [Texte imprimé] / Sigmund Freud ; traduit de l'allemand par Marie Bonaparte et le Dr. M. Nathan";Freud , Sigmund (Paris : Gallimard, 1976);"Humour   Inconscient   Mot d&apos;esprit (psychanalyse) ";"Collection Idées ; 198";;Français;;;
La vie sexuelle ;Freud , Sigmund ;"La vie sexuelle / Sigmund Freud ; introd. de Jean Laplanche ; trad. de l'allemand par Denise Berger, Jean Laplanche et collab";Freud , Sigmund (Paris : Presses universitaires de France, 1972);Psychanalyse   Développement psychosexuel   Vie sexuelle ;Bibliothèque de psychanalyse;3e éd. corr;Français;;;
Trois essais sur la théorie de la sexualité  ;Freud , Sigmund ;"Trois essais sur la théorie de la sexualité [Texte imprimé] / Sigmund Freud ; traduit de l'allemand par B. Reverchon-Jouve";Freud , Sigmund ([Paris] : Gallimard, 1962);Enfants -- Sexualité   Sexualité (psychologie)   Psychanalyse ;"Idées ; 3";;Français;2-07-032282-3 ;9782070322824 ;
Sociologie de Max Weber  ;Freund , Julien ;Sociologie de Max Weber [Texte imprimé] / par Julien Freund, ...;Freund , Julien (Paris : Presses universitaires de France, 1966, cop. 1966);Weber, Max   Critique et interprétation -- 1864-1920 ;"Sup . ""Le sociologue"". sociologie, ethnologie, anthropologie sociale ; 2";;Français;;;
A la gueule des loups  ;Fréville , Jean ;A la gueule des loups [Texte imprimé] / Jean Fréville;Fréville , Jean (Paris : P. Seghers, D.L 1945);;Collection Poésie 45;;Français;;;
Selecta para jovens  ;Freyre , Gilberto ;"Selecta para jovens [Texte imprimé] / Gilberto Freyre ; organizada pelo autor com a colaboraçào de Maria Elisa Dias Collier; intoduçào de Luis forjaz Trigueiros";Freyre , Gilberto (Lisboa : Livros do Brasil, cop. 1971);;Colecçào livros do Brasil;;Portugais;;;
